,country,beer,spirit,wine,liters,mL,continent,volume,volume_2,liters_rounded
51,Dominican Republic,193,147,9,6.2,6200,,large,large,6.0
52,Ecuador,162,74,3,4.2,4200,SA,low,low,4.0
53,Egypt,6,4,1,0.2,200,AF,low,low,0.0
54,El Salvador,52,69,2,2.2,2200,,low,low,2.0
55,Equatorial Guinea,92,0,233,5.8,5800,AF,large,large,6.0
56,Eritrea,18,0,0,0.5,500,AF,low,low,0.0
57,Estonia,224,194,59,9.5,9500,EU,large,large,10.0
58,Ethiopia,20,3,0,0.7,700,AF,low,low,1.0
59,Fiji,77,35,1,2.0,2000,OC,low,low,2.0
60,Finland,263,133,97,10.0,10000,EU,large,large,10.0
61,France,127,151,370,11.8,11800,EU,large,very large,12.0
62,Gabon,347,98,59,8.9,8900,AF,large,large,9.0
63,Gambia,8,0,1,2.4,2400,AF,low,low,2.0
64,Georgia,52,100,149,5.4,5400,EU,large,large,5.0
65,Germany,346,117,175,11.3,11300,EU,large,very large,11.0
66,Ghana,31,3,10,1.8,1800,AF,low,low,2.0
67,Greece,133,112,218,8.3,8300,EU,large,large,8.0
68,Grenada,199,438,28,11.9,11900,,large,very large,12.0
69,Guatemala,53,69,2,2.2,2200,,low,low,2.0
70,Guinea,9,0,2,0.2,200,AF,low,low,0.0
71,Guinea-Bissau,28,31,21,2.5,2500,AF,low,low,2.0
72,Guyana,93,302,1,7.1,7100,SA,large,large,7.0
73,Haiti,1,326,1,5.9,5900,,large,large,6.0
74,Honduras,69,98,2,3.0,3000,,low,low,3.0
75,Hungary,234,215,185,11.3,11300,EU,large,very large,11.0
76,Iceland,233,61,78,6.6,6600,EU,large,large,7.0
77,India,9,114,0,2.2,2200,AS,low,low,2.0
78,Indonesia,5,1,0,0.1,100,AS,low,low,0.0
79,Iran,0,0,0,0.0,0,AS,low,low,0.0
80,Iraq,9,3,0,0.2,200,AS,low,low,0.0
81,Ireland,313,118,165,11.4,11400,EU,large,very large,11.0
82,Israel,63,69,9,2.5,2500,AS,low,low,2.0
83,Italy,85,42,237,6.5,6500,EU,large,large,6.0
84,Jamaica,82,97,9,3.4,3400,,low,low,3.0
85,Japan,77,202,16,7.0,7000,AS,large,large,7.0
86,Jordan,6,21,1,0.5,500,AS,low,low,0.0
87,Kazakhstan,124,246,12,6.8,6800,AS,large,large,7.0
88,Kenya,58,22,2,1.8,1800,AF,low,low,2.0
89,Kiribati,21,34,1,1.0,1000,OC,low,low,1.0
90,Kuwait,0,0,0,0.0,0,AS,low,low,0.0
91,Kyrgyzstan,31,97,6,2.4,2400,AS,low,low,2.0
92,Laos,62,0,123,6.2,6200,AS,large,large,6.0
93,Latvia,281,216,62,10.5,10500,EU,large,very large,10.0
94,Lebanon,20,55,31,1.9,1900,AS,low,low,2.0
95,Lesotho,82,29,0,2.8,2800,AF,low,low,3.0
96,Liberia,19,152,2,3.1,3100,AF,low,low,3.0
97,Libya,0,0,0,0.0,0,AF,low,low,0.0
98,Lithuania,343,244,56,12.9,12900,EU,large,very large,13.0
99,Luxembourg,236,133,271,11.4,11400,EU,large,very large,11.0
100,Madagascar,26,15,4,0.8,800,AF,low,low,1.0
101,Malawi,8,11,1,1.5,1500,AF,low,low,2.0
102,Malaysia,13,4,0,0.3,300,AS,low,low,0.0
103,Maldives,0,0,0,0.0,0,AS,low,low,0.0
104,Mali,5,1,1,0.6,600,AF,low,low,1.0
105,Malta,149,100,120,6.6,6600,EU,large,large,7.0
106,Marshall Islands,0,0,0,0.0,0,OC,low,low,0.0
107,Mauritania,0,0,0,0.0,0,AF,low,low,0.0
108,Mauritius,98,31,18,2.6,2600,AF,low,low,3.0
109,Mexico,238,68,5,5.5,5500,,large,large,6.0
110,Micronesia,62,50,18,2.3,2300,OC,low,low,2.0
111,Monaco,0,0,0,0.0,0,EU,low,low,0.0
112,Mongolia,77,189,8,4.9,4900,AS,large,large,5.0
113,Montenegro,31,114,128,4.9,4900,EU,large,large,5.0
114,Morocco,12,6,10,0.5,500,AF,low,low,0.0
115,Mozambique,47,18,5,1.3,1300,AF,low,low,1.0
116,Myanmar,5,1,0,0.1,100,AS,low,low,0.0
117,Namibia,376,3,1,6.8,6800,AF,large,large,7.0
118,Nauru,49,0,8,1.0,1000,OC,low,low,1.0
119,Nepal,5,6,0,0.2,200,AS,low,low,0.0
120,Netherlands,251,88,190,9.4,9400,EU,large,large,9.0
121,New Zealand,203,79,175,9.3,9300,OC,large,large,9.0
122,Nicaragua,78,118,1,3.5,3500,,low,low,4.0
123,Niger,3,2,1,0.1,100,AF,low,low,0.0
124,Nigeria,42,5,2,9.1,9100,AF,large,large,9.0
125,Niue,188,200,7,7.0,7000,OC,large,large,7.0
126,Norway,169,71,129,6.7,6700,EU,large,large,7.0
127,Oman,22,16,1,0.7,700,AS,low,low,1.0
128,Pakistan,0,0,0,0.0,0,AS,low,low,0.0
129,Palau,306,63,23,6.9,6900,OC,large,large,7.0
130,Panama,285,104,18,7.2,7200,,large,large,7.0
131,Papua New Guinea,44,39,1,1.5,1500,OC,low,low,2.0
132,Paraguay,213,117,74,7.3,7300,SA,large,large,7.0
133,Peru,163,160,21,6.1,6100,SA,large,large,6.0
134,Philippines,71,186,1,4.6,4600,AS,large,large,5.0
135,Poland,343,215,56,10.9,10900,EU,large,very large,11.0
136,Portugal,194,67,339,11.0,11000,EU,large,very large,11.0
137,Qatar,1,42,7,0.9,900,AS,low,low,1.0
138,South Korea,140,16,9,9.8,9800,AS,large,large,10.0
139,Moldova,109,226,18,6.3,6300,EU,large,large,6.0
140,Romania,297,122,167,10.4,10400,EU,large,very large,10.0
141,Russian Federation,247,326,73,11.5,11500,AS,large,very large,12.0
142,Rwanda,43,2,0,6.8,6800,AF,large,large,7.0
143,St. Kitts & Nevis,194,205,32,7.7,7700,,large,large,8.0
144,St. Lucia,171,315,71,10.1,10100,,large,very large,10.0
145,St. Vincent & the Grenadines,120,221,11,6.3,6300,,large,large,6.0
146,Samoa,105,18,24,2.6,2600,OC,low,low,3.0
147,San Marino,0,0,0,0.0,0,EU,low,low,0.0
148,Sao Tome & Principe,56,38,140,4.2,4200,AF,low,low,4.0
149,Saudi Arabia,0,5,0,0.1,100,AS,low,low,0.0
150,Senegal,9,1,7,0.3,300,AF,low,low,0.0
151,Serbia,283,131,127,9.6,9600,EU,large,large,10.0
152,Seychelles,157,25,51,4.1,4100,AF,low,low,4.0
153,Sierra Leone,25,3,2,6.7,6700,AF,large,large,7.0
154,Singapore,60,12,11,1.5,1500,AS,low,low,2.0
155,Slovakia,196,293,116,11.4,11400,EU,large,very large,11.0
156,Slovenia,270,51,276,10.6,10600,EU,large,very large,11.0
157,Solomon Islands,56,11,1,1.2,1200,OC,low,low,1.0
158,Somalia,0,0,0,0.0,0,AF,low,low,0.0
159,South Africa,225,76,81,8.2,8200,AF,large,large,8.0
160,Spain,284,157,112,10.0,10000,EU,large,large,10.0
161,Sri Lanka,16,104,0,2.2,2200,AS,low,low,2.0
162,Sudan,8,13,0,1.7,1700,AF,low,low,2.0
163,Suriname,128,178,7,5.6,5600,SA,large,large,6.0
164,Swaziland,90,2,2,4.7,4700,AF,large,large,5.0
165,Sweden,152,60,186,7.2,7200,EU,large,large,7.0
166,Switzerland,185,100,280,10.2,10200,EU,large,very large,10.0
167,Syria,5,35,16,1.0,1000,AS,low,low,1.0
168,Tajikistan,2,15,0,0.3,300,AS,low,low,0.0
169,Thailand,99,258,1,6.4,6400,AS,large,large,6.0
170,Macedonia,106,27,86,3.9,3900,EU,low,low,4.0
171,Timor-Leste,1,1,4,0.1,100,AS,low,low,0.0
172,Togo,36,2,19,1.3,1300,AF,low,low,1.0
173,Tonga,36,21,5,1.1,1100,OC,low,low,1.0
174,Trinidad & Tobago,197,156,7,6.4,6400,,large,large,6.0
175,Tunisia,51,3,20,1.3,1300,AF,low,low,1.0
176,Turkey,51,22,7,1.4,1400,AS,low,low,1.0
177,Turkmenistan,19,71,32,2.2,2200,AS,low,low,2.0
178,Tuvalu,6,41,9,1.0,1000,OC,low,low,1.0
179,Uganda,45,9,0,8.3,8300,AF,large,large,8.0
180,Ukraine,206,237,45,8.9,8900,EU,large,large,9.0
181,United Arab Emirates,16,135,5,2.8,2800,AS,low,low,3.0
182,United Kingdom,219,126,195,10.4,10400,EU,large,very large,10.0
183,Tanzania,36,6,1,5.7,5700,AF,large,large,6.0
184,USA,249,158,84,8.7,8700,,large,large,9.0
185,Uruguay,115,35,220,6.6,6600,SA,large,large,7.0
186,Uzbekistan,25,101,8,2.4,2400,AS,low,low,2.0
187,Vanuatu,21,18,11,0.9,900,OC,low,low,1.0
188,Venezuela,333,100,3,7.7,7700,SA,large,large,8.0
189,Vietnam,111,2,1,2.0,2000,AS,low,low,2.0
190,Yemen,6,0,0,0.1,100,AS,low,low,0.0
191,Zambia,32,19,4,2.5,2500,AF,low,low,2.0
192,Zimbabwe,64,18,4,4.7,4700,AF,large,large,5.0
